;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Receita total prevista do Fundeb 2026 - Portaria Interministerial nº 14, de 29 de Dezembro de 2025;;;;;;;;;;;;
;;;;;;;;;;;;
UF;"Código
IBGE";Entidade;Receita da contribuição de estados e municípios ao Fundeb;Complementação VAAF;Complementação VAAT;Complementação VAAR;Complementação da União Total;Total das receitas previstas;;;;
AL;2703809;JOAQUIM GOMES; 22.263.761,67 ; 5.016.975,34 ; 9.838.827,04 ; 1.084.072,38 ; 15.939.874,76 ; 38.203.636,43 ;;;;
AL;2703908;JUNDIA; 11.200.254,39 ; 2.523.895,15 ; 4.698.510,67 ; 1.032.267,34 ; 8.254.673,16 ; 19.454.927,55 ;;;;
AL;2704005;JUNQUEIRO; 32.077.551,80 ; 7.228.440,94 ; 13.089.460,76 ; -   ; 20.317.901,70 ; 52.395.453,50 ;;;;
AL;2704104;LAGOA DA CANOA; 35.559.422,27 ; 8.013.054,90 ; 8.386.276,11 ; 3.345.672,91 ; 19.745.003,92 ; 55.304.426,19 ;;;;
AL;2704203;LIMOEIRO DE ANADIA; 60.955.793,50 ; 13.735.940,82 ; 56.235.100,16 ; 2.735.422,33 ; 72.706.463,31 ; 133.662.256,81 ;;;;
AL;2704302;MACEIO; 371.344.381,87 ; 83.679.731,79 ; -   ; -   ; 83.679.731,79 ; 455.024.113,66 ;;;;
AL;2704401;MAJOR ISIDORO; 32.555.507,14 ; 7.336.144,66 ; 17.314.376,09 ; 2.729.488,23 ; 27.380.008,98 ; 59.935.516,12 ;;;;
AL;2704906;MAR VERMELHO; 4.712.777,12 ; 1.061.989,74 ; 1.041.958,89 ; 468.249,76 ; 2.572.198,39 ; 7.284.975,51 ;;;;
AL;2704500;MARAGOGI; 43.213.546,30 ; 9.737.855,59 ; 9.836.974,58 ; 4.397.570,82 ; 23.972.400,99 ; 67.185.947,29 ;;;;
AL;2704609;MARAVILHA; 23.277.595,45 ; 5.245.435,34 ; 13.056.244,35 ; 2.178.985,71 ; 20.480.665,40 ; 43.758.260,85 ;;;;
AL;2704708;MARECHAL DEODORO; 80.101.264,89 ; 18.050.232,31 ; 21.730.862,57 ; -   ; 39.781.094,88 ; 119.882.359,77 ;;;;
AL;2704807;MARIBONDO; 15.357.547,36 ; 3.460.710,61 ; 9.201.133,60 ; 670.277,03 ; 13.332.121,24 ; 28.689.668,60 ;;;;
AL;2705002;MATA GRANDE; 32.640.501,80 ; 7.355.297,59 ; 10.848.504,23 ; 3.284.824,27 ; 21.488.626,09 ; 54.129.127,89 ;;;;
AL;2705101;MATRIZ DE CAMARAGIBE; 31.590.451,39 ; 7.118.676,43 ; 10.407.811,01 ; -   ; 17.526.487,44 ; 49.116.938,83 ;;;;
AL;2705200;MESSIAS; 22.244.762,56 ; 5.012.694,02 ; 8.912.093,90 ; -   ; 13.924.787,92 ; 36.169.550,48 ;;;;
AL;2705309;MINADOR DO NEGRAO; 10.259.806,68 ; 2.311.972,16 ; 3.859.271,58 ; -   ; 6.171.243,74 ; 16.431.050,42 ;;;;
AL;2705408;MONTEIROPOLIS; 16.414.899,17 ; 3.698.977,09 ; 12.210.355,98 ; 1.522.726,54 ; 17.432.059,61 ; 33.846.958,78 ;;;;
AL;2705507;MURICI; 46.327.281,28 ; 10.439.512,92 ; 24.006.653,24 ; 4.711.453,48 ; 39.157.619,64 ; 85.484.900,92 ;;;;
AL;2705606;NOVO LINO; 23.167.871,07 ; 5.220.709,75 ; 7.234.109,54 ; 2.515.456,37 ; 14.970.275,66 ; 38.138.146,73 ;;;;
AL;2705705;OLHO DAGUA DAS FLORES; 28.119.997,92 ; 6.336.635,20 ; 14.094.219,62 ; 2.957.462,94 ; 23.388.317,76 ; 51.508.315,68 ;;;;
AL;2705804;OLHO DAGUA DO CASADO; 13.837.117,51 ; 3.118.092,90 ; 8.645.609,45 ; 637.394,89 ; 12.401.097,24 ; 26.238.214,75 ;;;;
AL;2705903;OLHO DAGUA GRANDE; 9.761.724,98 ; 2.199.733,10 ; 1.774.153,71 ; 1.086.984,39 ; 5.060.871,20 ; 14.822.596,18 ;;;;
AL;2706000;OLIVENCA; 21.395.235,21 ; 4.821.259,27 ; 13.598.025,11 ; 2.150.815,62 ; 20.570.100,00 ; 41.965.335,21 ;;;;
AL;2706109;OURO BRANCO; 20.525.488,52 ; 4.625.268,24 ; 9.862.320,56 ; 2.116.309,07 ; 16.603.897,87 ; 37.129.386,39 ;;;;
AL;2706208;PALESTINA; 8.713.666,71 ; 1.963.560,86 ; 5.490.699,85 ; 785.629,98 ; 8.239.890,69 ; 16.953.557,40 ;;;;
AL;2706307;PALMEIRA DOS INDIOS; 69.505.424,17 ; 15.662.537,35 ; 32.395.656,45 ; -   ; 48.058.193,80 ; 117.563.617,97 ;;;;
AL;2706406;PAO DE ACUCAR; 32.077.952,94 ; 7.228.531,33 ; 14.662.109,29 ; 3.168.451,03 ; 25.059.091,65 ; 57.137.044,59 ;;;;
AL;2706422;PARICONHA; 15.393.218,89 ; 3.468.748,93 ; 7.986.689,71 ; 1.262.493,06 ; 12.717.931,70 ; 28.111.150,59 ;;;;
AL;2706448;PARIPUEIRA; 19.131.691,20 ; 4.311.186,24 ; 5.773.300,09 ; -   ; 10.084.486,33 ; 29.216.177,53 ;;;;
AL;2706505;PASSO DE CAMARAGIBE; 20.813.225,78 ; 4.690.107,72 ; 10.035.620,37 ; 2.125.689,02 ; 16.851.417,11 ; 37.664.642,89 ;;;;
AL;2706604;PAULO JACINTO; 7.602.466,09 ; 1.713.159,95 ; 3.219.522,29 ; 817.402,22 ; 5.750.084,46 ; 13.352.550,55 ;;;;
AL;2706703;PENEDO; 70.422.373,97 ; 15.869.165,26 ; 49.521.141,94 ; 7.309.483,79 ; 72.699.790,99 ; 143.122.164,96 ;;;;
AL;2706802;PIACABUCU; 22.807.947,03 ; 5.139.603,51 ; 9.677.615,56 ; 2.276.156,55 ; 17.093.375,62 ; 39.901.322,65 ;;;;
AL;2706901;PILAR; 61.850.395,36 ; 13.937.532,78 ; 30.259.038,59 ; 6.437.896,83 ; 50.634.468,20 ; 112.484.863,56 ;;;;
AL;2707008;PINDOBA; 3.717.032,59 ; 837.606,02 ; 362.906,82 ; 166.609,35 ; 1.367.122,19 ; 5.084.154,78 ;;;;
AL;2707107;PIRANHAS; 32.226.708,33 ; 7.262.052,26 ; 17.593.232,78 ; 3.168.831,61 ; 28.024.116,65 ; 60.250.824,98 ;;;;
AL;2707206;POCO DAS TRINCHEIRAS; 21.090.331,58 ; 4.752.551,47 ; -   ; 1.969.139,90 ; 6.721.691,37 ; 27.812.022,95 ;;;;
AL;2707305;PORTO CALVO; 44.041.610,30 ; 9.924.453,74 ; 32.980.504,47 ; 4.377.362,68 ; 47.282.320,89 ; 91.323.931,19 ;;;;
AL;2707404;PORTO DE PEDRAS; 14.996.232,86 ; 3.379.291,04 ; 1.952.372,12 ; 1.356.705,88 ; 6.688.369,04 ; 21.684.601,90 ;;;;
AL;2707503;PORTO REAL DO COLEGIO; 24.270.332,24 ; 5.469.141,29 ; 15.429.165,12 ; 2.277.700,42 ; 23.176.006,83 ; 47.446.339,07 ;;;;
AL;2707602;QUEBRANGULO; 22.912.194,60 ; 5.163.094,94 ; 12.166.383,30 ; -   ; 17.329.478,24 ; 40.241.672,84 ;;;;
AL;2707701;RIO LARGO; 106.318.676,49 ; 23.958.133,65 ; 49.702.225,18 ; 11.789.115,56 ; 85.449.474,39 ; 191.768.150,88 ;;;;
AL;2707800;ROTEIRO; 10.659.205,04 ; 2.401.973,65 ; 1.558.860,12 ; 1.153.408,72 ; 5.114.242,49 ; 15.773.447,53 ;;;;
AL;2707909;SANTA LUZIA DO NORTE; 11.226.235,72 ; 2.529.749,85 ; 5.217.112,40 ; 987.728,53 ; 8.734.590,78 ; 19.960.826,50 ;;;;
AL;2708006;SANTANA DO IPANEMA; 48.386.387,59 ; 10.903.517,42 ; 29.821.120,65 ; 2.270.829,48 ; 42.995.467,55 ; 91.381.855,14 ;;;;
AL;2708105;SANTANA DO MUNDAU; 26.069.240,30 ; 5.874.512,03 ; 14.879.241,46 ; 3.244.790,50 ; 23.998.543,99 ; 50.067.784,29 ;;;;
AL;2708204;SAO BRAS; 9.041.764,96 ; 2.037.495,39 ; 4.911.554,97 ; 475.563,87 ; 7.424.614,23 ; 16.466.379,19 ;;;;
AL;2708303;SAO JOSE DA LAJE; 28.016.670,32 ; 6.313.351,09 ; 15.577.831,24 ; 3.563.354,93 ; 25.454.537,26 ; 53.471.207,58 ;;;;
AL;2708402;SAO JOSE DA TAPERA; 51.416.535,21 ; 11.586.338,95 ; 32.082.300,59 ; -   ; 43.668.639,54 ; 95.085.174,75 ;;;;
AL;2708501;SAO LUIS DO QUITUNDE; 34.746.287,50 ; 7.829.820,95 ; 11.652.483,26 ; 3.544.112,84 ; 23.026.417,05 ; 57.772.704,55 ;;;;
AL;2708600;SAO MIGUEL DOS CAMPOS; 63.277.739,07 ; 14.259.174,21 ; 24.889.485,30 ; 6.575.951,92 ; 45.724.611,43 ; 109.002.350,50 ;;;;
AL;2708709;SAO MIGUEL DOS MILAGRES; 14.380.475,02 ; 3.240.534,53 ; 3.952.278,88 ; 1.397.992,58 ; 8.590.805,99 ; 22.971.281,01 ;;;;
AL;2708808;SAO SEBASTIAO; 46.062.703,87 ; 10.379.892,34 ; 19.102.924,59 ; 4.593.388,74 ; 34.076.205,67 ; 80.138.909,54 ;;;;
AL;2708907;SATUBA; 28.319.707,97 ; 6.381.638,40 ; 20.879.261,48 ; 2.999.372,57 ; 30.260.272,45 ; 58.579.980,42 ;;;;
AL;2708956;SENADOR RUI PALMEIRA; 21.478.901,31 ; 4.840.112,81 ; 9.543.298,00 ; 2.003.810,00 ; 16.387.220,81 ; 37.866.122,12 ;;;;
AL;2709004;TANQUE DARCA; 10.269.365,78 ; 2.314.126,23 ; 1.801.747,72 ; 892.690,20 ; 5.008.564,15 ; 15.277.929,93 ;;;;
AL;2709103;TAQUARANA; 38.581.900,61 ; 8.694.148,21 ; 18.559.945,36 ; 3.643.374,65 ; 30.897.468,22 ; 69.479.368,83 ;;;;
AL;2709152;TEOTONIO VILELA; 83.900.909,79 ; 18.906.454,41 ; 48.872.083,16 ; 8.908.825,71 ; 76.687.363,28 ; 160.588.273,07 ;;;;
AL;2709202;TRAIPU; 54.570.554,12 ; 12.297.073,97 ; 41.786.370,76 ; 2.290.775,71 ; 56.374.220,44 ; 110.944.774,56 ;;;;
AL;2709301;UNIAO DOS PALMARES; 90.418.015,95 ; 20.375.036,47 ; 60.826.700,93 ; 11.671.571,24 ; 92.873.308,64 ; 183.291.324,59 ;;;;
AL;2709400;VICOSA; 27.745.915,62 ; 6.252.338,51 ; 9.377.942,44 ; 2.876.808,53 ; 18.507.089,48 ; 46.253.005,10 ;;;;
AL;27;GOVERNO DO ESTADO; 1.370.343.417,98 ; 308.796.834,61 ; -   ; 59.427.771,35 ; 368.224.605,96 ; 1.738.568.023,94 ;;;;
AM;1300029;ALVARAES; 31.113.839,66 ; 8.174.327,20 ; 19.143.725,42 ; 1.298.256,17 ; 28.616.308,79 ; 59.730.148,45 ;;;;
AM;1300060;AMATURA; 22.340.636,97 ; 5.869.403,40 ; 18.518.841,86 ; -   ; 24.388.245,26 ; 46.728.882,23 ;;;;
AM;1300086;ANAMA; 11.761.682,33 ; 3.090.066,70 ; 2.827.003,00 ; 647.841,93 ; 6.564.911,63 ; 18.326.593,96 ;;;;
AM;1300102;ANORI; 15.061.598,67 ; 3.957.031,24 ; 5.218.577,23 ; -   ; 9.175.608,47 ; 24.237.207,14 ;;;;
AM;1300144;APUI; 13.893.910,44 ; 3.650.252,46 ; 5.632.018,06 ; -   ; 9.282.270,52 ; 23.176.180,96 ;;;;
AM;1300201;ATALAIA DO NORTE; 32.933.841,56 ; 8.652.483,90 ; 25.002.511,64 ; -   ; 33.654.995,54 ; 66.588.837,10 ;;;;
AM;1300300;AUTAZES; 51.528.114,00 ; 13.537.630,46 ; 32.504.402,77 ; 4.764.000,76 ; 50.806.033,99 ; 102.334.147,99 ;;;;
AM;1300409;BARCELOS; 22.231.415,35 ; 5.840.708,35 ; 15.616.172,85 ; -   ; 21.456.881,20 ; 43.688.296,55 ;;;;
AM;1300508;BARREIRINHA; 59.981.460,71 ; 15.758.520,67 ; 36.468.132,25 ; 5.262.877,39 ; 57.489.530,31 ; 117.470.991,02 ;;;;
AM;1300607;BENJAMIN CONSTANT; 89.876.066,90 ; 23.612.526,96 ; 75.743.650,19 ; 7.842.199,46 ; 107.198.376,61 ; 197.074.443,51 ;;;;
AM;1300631;BERURI; 36.335.577,27 ; 9.546.198,76 ; 22.408.059,25 ; -   ; 31.954.258,01 ; 68.289.835,28 ;;;;
AM;1300680;BOA VISTA DO RAMOS; 22.705.987,05 ; 5.965.389,34 ; 8.485.590,45 ; 2.215.110,79 ; 16.666.090,58 ; 39.372.077,63 ;;;;
AM;1300706;BOCA DO ACRE; 33.886.851,60 ; 8.902.861,74 ; 18.376.429,65 ; 3.790.038,98 ; 31.069.330,37 ; 64.956.181,97 ;;;;
AM;1300805;BORBA; 46.945.953,41 ; 12.333.790,62 ; 35.173.062,85 ; 2.026.481,43 ; 49.533.334,90 ; 96.479.288,31 ;;;;
AM;1300839;CAAPIRANGA; 14.801.462,15 ; 3.888.687,35 ; 3.605.231,43 ; 1.362.022,82 ; 8.855.941,60 ; 23.657.403,75 ;;;;
AM;1300904;CANUTAMA; 15.227.240,24 ; 4.000.549,13 ; 5.006.277,45 ; 1.526.163,09 ; 10.532.989,67 ; 25.760.229,91 ;;;;
AM;1301001;CARAUARI; 33.732.136,72 ; 8.862.214,55 ; 23.730.492,83 ; 1.845.134,81 ; 34.437.842,19 ; 68.169.978,91 ;;;;
AM;1301100;CAREIRO; 47.126.212,32 ; 12.381.148,81 ; 26.211.104,17 ; -   ; 38.592.252,98 ; 85.718.465,30 ;;;;
AM;1301159;CAREIRO DA VARZEA; 23.068.103,86 ; 6.060.525,83 ; 12.731.475,04 ; 2.285.285,11 ; 21.077.285,98 ; 44.145.389,84 ;;;;
AM;1301209;COARI; 68.174.907,33 ; 17.911.129,10 ; 13.300.610,90 ; 6.886.358,36 ; 38.098.098,36 ; 106.273.005,69 ;;;;
AM;1301308;CODAJAS; 20.486.912,10 ; 5.382.386,89 ; 6.644.348,20 ; -   ; 12.026.735,09 ; 32.513.647,19 ;;;;
AM;1301407;EIRUNEPE; 36.246.092,48 ; 9.522.689,02 ; 15.884.831,37 ; -   ; 25.407.520,39 ; 61.653.612,87 ;;;;
AM;1301506;ENVIRA; 18.411.971,72 ; 4.837.251,94 ; 2.107.120,20 ; -   ; 6.944.372,14 ; 25.356.343,86 ;;;;
AM;1301605;FONTE BOA; 40.468.304,97 ; 10.631.962,16 ; 25.528.172,58 ; 3.972.708,12 ; 40.132.842,86 ; 80.601.147,83 ;;;;
AM;1301654;GUAJARA; 15.199.856,68 ; 3.993.354,83 ; 9.089.903,93 ; 1.605.940,35 ; 14.689.199,11 ; 29.889.055,79 ;;;;
AM;1301704;HUMAITA; 59.511.330,28 ; 15.635.006,51 ; 28.333.740,54 ; 6.290.798,60 ; 50.259.545,65 ; 109.770.875,93 ;;;;
AM;1301803;IPIXUNA; 24.380.007,70 ; 6.405.193,38 ; 16.443.484,59 ; 1.082.480,36 ; 23.931.158,33 ; 48.311.166,03 ;;;;
AM;1301852;IRANDUBA; 72.644.019,06 ; 19.085.268,39 ; 45.290.025,59 ; -   ; 64.375.293,98 ; 137.019.313,04 ;;;;
AM;1301902;ITACOATIARA; 98.281.906,67 ; 25.820.936,00 ; 28.670.552,35 ; 10.418.019,40 ; 64.909.507,75 ; 163.191.414,42 ;;;;
AM;1301951;ITAMARATI; 18.483.522,93 ; 4.856.050,10 ; 9.424.202,38 ; -   ; 14.280.252,48 ; 32.763.775,41 ;;;;
AM;1302009;ITAPIRANGA; 12.871.496,42 ; 3.381.640,60 ; 9.175.127,92 ; 1.290.240,06 ; 13.847.008,58 ; 26.718.505,00 ;;;;
AM;1302108;JAPURA; 21.967.834,83 ; 5.771.459,63 ; 15.555.103,81 ; 934.709,10 ; 22.261.272,54 ; 44.229.107,37 ;;;;
AM;1302207;JURUA; 16.704.862,52 ; 4.388.754,77 ; 8.125.837,03 ; 1.616.669,54 ; 14.131.261,34 ; 30.836.123,86 ;;;;
AM;1302306;JUTAI; 52.090.168,81 ; 13.685.295,29 ; 34.384.529,44 ; 4.833.812,46 ; 52.903.637,19 ; 104.993.806,00 ;;;;
AM;1302405;LABREA; 53.108.455,95 ; 13.952.822,94 ; 31.294.584,05 ; 2.576.616,51 ; 47.824.023,50 ; 100.932.479,45 ;;;;
AM;1302504;MANACAPURU; 111.781.680,76 ; 29.367.639,71 ; 58.093.228,18 ; -   ; 87.460.867,89 ; 199.242.548,65 ;;;;
AM;1302553;MANAQUIRI; 25.582.001,83 ; 6.720.985,12 ; 7.841.234,89 ; 2.367.251,91 ; 16.929.471,92 ; 42.511.473,75 ;;;;
AM;1302603;MANAUS; 1.398.383.738,58 ; 367.387.836,09 ; -   ; -   ; 367.387.836,09 ; 1.765.771.574,67 ;;;;
AM;1302702;MANICORE; 68.543.436,85 ; 18.007.950,36 ; 27.827.064,74 ; -   ; 45.835.015,10 ; 114.378.451,95 ;;;;
AM;1302801;MARAA; 30.804.731,04 ; 8.093.117,19 ; 18.777.936,04 ; 2.658.012,83 ; 29.529.066,06 ; 60.333.797,10 ;;;;
AM;1302900;MAUES; 74.497.763,75 ; 19.572.290,11 ; 41.436.096,79 ; -   ; 61.008.386,90 ; 135.506.150,65 ;;;;
AM;1303007;NHAMUNDA; 22.561.943,91 ; 5.927.545,87 ; 10.150.464,50 ; 2.253.580,85 ; 18.331.591,22 ; 40.893.535,13 ;;;;
AM;1303106;NOVA OLINDA DO NORTE; 40.227.226,65 ; 10.568.625,29 ; 22.566.854,65 ; 3.947.294,20 ; 37.082.774,14 ; 77.310.000,79 ;;;;
AM;1303205;NOVO AIRAO; 17.428.327,50 ; 4.578.825,79 ; 5.495.304,75 ; 1.072.445,08 ; 11.146.575,62 ; 28.574.903,12 ;;;;
AM;1303304;NOVO ARIPUANA; 18.342.787,07 ; 4.819.075,53 ; 10.025.457,25 ; -   ; 14.844.532,78 ; 33.187.319,85 ;;;;
AM;1303403;PARINTINS; 105.344.108,41 ; 27.676.340,16 ; 57.835.718,45 ; -   ; 85.512.058,61 ; 190.856.167,02 ;;;;
AM;1303502;PAUINI; 22.916.389,48 ; 6.020.666,94 ; 12.080.220,79 ; 1.091.093,50 ; 19.191.981,23 ; 42.108.370,71 ;;;;
AM;1303536;PRESIDENTE FIGUEIREDO; 47.389.720,48 ; 12.450.378,52 ; 2.974.397,00 ; -   ; 15.424.775,52 ; 62.814.496,00 ;;;;
AM;1303569;RIO PRETO DA EVA; 37.811.274,51 ; 9.933.898,64 ; 17.117.056,55 ; 3.741.096,31 ; 30.792.051,50 ; 68.603.326,01 ;;;;
AM;1303601;SANTA ISABEL DO RIO NEGRO; 24.368.509,73 ; 6.402.172,60 ; 20.381.498,73 ; 1.202.367,01 ; 27.986.038,34 ; 52.354.548,07 ;;;;
AM;1303700;SANTO ANTONIO DO ICA; 57.604.870,92 ; 15.134.135,42 ; 49.461.023,05 ; 5.143.231,26 ; 69.738.389,73 ; 127.343.260,65 ;;;;
AM;1303809;SAO GABRIEL DA CACHOEIRA; 92.427.393,23 ; 24.282.819,55 ; 78.492.420,21 ; 6.442.534,38 ; 109.217.774,14 ; 201.645.167,37 ;;;;
AM;1303908;SAO PAULO DE OLIVENCA; 67.230.307,08 ; 17.662.960,71 ; 50.380.814,36 ; -   ; 68.043.775,07 ; 135.274.082,15 ;;;;
AM;1303957;SAO SEBASTIAO DO UATUMA; 11.322.440,32 ; 2.974.667,64 ; 5.743.211,08 ; 612.803,67 ; 9.330.682,39 ; 20.653.122,71 ;;;;
AM;1304005;SILVES; 18.584.447,46 ; 4.882.565,31 ; 6.199.237,13 ; 729.137,73 ; 11.810.940,17 ; 30.395.387,63 ;;;;
AM;1304062;TABATINGA; 121.789.696,87 ; 31.996.977,62 ; 95.576.973,41 ; 10.631.319,04 ; 138.205.270,07 ; 259.994.966,94 ;;;;
AM;1304104;TAPAUA; 34.208.610,41 ; 8.987.395,24 ; 21.957.152,34 ; 3.272.874,10 ; 34.217.421,68 ; 68.426.032,09 ;;;;
AM;1304203;TEFE; 107.008.992,92 ; 28.113.743,94 ; 69.906.019,53 ; -   ; 98.019.763,47 ; 205.028.756,39 ;;;;
AM;1304237;TONANTINS; 32.498.301,50 ; 8.538.057,43 ; 20.404.227,88 ; 3.143.125,58 ; 32.085.410,89 ; 64.583.712,39 ;;;;
AM;1304260;UARINI; 23.656.775,57 ; 6.215.183,54 ; 12.746.072,11 ; -   ; 18.961.255,65 ; 42.618.031,22 ;;;;
AM;1304302;URUCARA; 17.253.336,62 ; 4.532.851,63 ; 6.752.863,07 ; 932.890,01 ; 12.218.604,71 ; 29.471.941,33 ;;;;
AM;1304401;URUCURITUBA; 22.361.427,00 ; 5.874.865,42 ; 14.877.955,50 ; 2.320.771,26 ; 23.073.592,18 ; 45.435.019,18 ;;;;
AM;13;GOVERNO DO ESTADO; 2.442.443.569,64 ; 641.686.565,04 ; -   ; 244.191.352,55 ; 885.877.917,59 ; 3.328.321.487,23 ;;;;
AP;1600105;AMAPA; 13.477.112,02 ; -   ; 123.242,89 ; 442.412,63 ; 565.655,52 ; 14.042.767,54 ;;;;
AP;1600204;CALCOENE; 20.486.875,95 ; -   ; 4.911.922,94 ; 1.232.118,47 ; 6.144.041,41 ; 26.630.917,36 ;;;;
AP;1600212;CUTIAS; 8.758.873,55 ; -   ; -   ; -   ; -   ; 8.758.873,55 ;;;;
AP;1600238;FERREIRA GOMES; 18.319.752,51 ; -   ; -   ; -   ; -   ; 18.319.752,51 ;;;;
AP;1600253;ITAUBAL; 13.267.842,31 ; -   ; 1.942.899,37 ; -   ; 1.942.899,37 ; 15.210.741,68 ;;;;
AP;1600279;LARANJAL DO JARI; 74.831.384,96 ; -   ; 1.041.162,51 ; 4.490.985,86 ; 5.532.148,37 ; 80.363.533,33 ;;;;
AP;1600303;MACAPA; 397.272.085,68 ; -   ; -   ; 25.616.502,92 ; 25.616.502,92 ; 422.888.588,60 ;;;;
AP;1600402;MAZAGAO; 65.743.850,57 ; -   ; 12.088.204,42 ; 1.865.857,47 ; 13.954.061,89 ; 79.697.912,46 ;;;;
AP;1600501;OIAPOQUE; 49.197.535,77 ; -   ; 1.927.070,57 ; -   ; 1.927.070,57 ; 51.124.606,34 ;;;;
AP;1600154;PEDRA BRANCA DO AMAPARI; 17.196.501,79 ; -   ; -   ; 1.098.400,63 ; 1.098.400,63 ; 18.294.902,42 ;;;;
AP;1600535;PORTO GRANDE; 33.894.148,82 ; -   ; -   ; -   ; -   ; 33.894.148,82 ;;;;
AP;1600550;PRACUUBA; 7.340.087,69 ; -   ; -   ; -   ; -   ; 7.340.087,69 ;;;;
AP;1600600;SANTANA; 128.584.038,68 ; -   ; -   ; 8.050.721,15 ; 8.050.721,15 ; 136.634.759,83 ;;;;
AP;1600055;SERRA DO NAVIO; 6.025.220,65 ; -   ; -   ; 362.116,11 ; 362.116,11 ; 6.387.336,76 ;;;;
AP;1600709;TARTARUGALZINHO; 30.841.082,83 ; -   ; 8.362.099,28 ; 1.759.123,65 ; 10.121.222,93 ; 40.962.305,76 ;;;;
AP;1600808;VITORIA DO JARI; 28.699.279,82 ; -   ; 1.209.025,68 ; -   ; 1.209.025,68 ; 29.908.305,50 ;;;;
AP;16;GOVERNO DO ESTADO; 1.212.510.424,99 ; -   ; -   ; -   ; -   ; 1.212.510.424,99 ;;;;
BA;2900108;ABAIRA; 5.507.454,86 ; 1.922.545,86 ; 2.171.803,11 ; 336.236,94 ; 4.430.585,91 ; 9.938.040,77 ;;;;
BA;2900207;ABARE; 24.425.594,69 ; 8.526.502,22 ; 17.338.790,92 ; 1.384.977,04 ; 27.250.270,18 ; 51.675.864,87 ;;;;
BA;2900306;ACAJUTIBA; 29.755.373,51 ; 10.387.024,82 ; 28.112.136,81 ; 2.703.988,44 ; 41.203.150,07 ; 70.958.523,58 ;;;;
BA;2900355;ADUSTINA; 16.951.961,30 ; 5.917.601,50 ; 7.104.330,00 ; 2.088.481,06 ; 15.110.412,56 ; 32.062.373,86 ;;;;
BA;2900405;AGUA FRIA; 17.878.781,53 ; 6.241.136,50 ; 6.446.213,44 ; -   ; 12.687.349,94 ; 30.566.131,47 ;;;;
BA;2900603;AIQUARA; 5.633.834,97 ; 1.966.662,71 ; -   ; 282.246,31 ; 2.248.909,02 ; 7.882.743,99 ;;;;
BA;2900702;ALAGOINHAS; 69.216.247,12 ; 24.162.051,83 ; -   ; -   ; 24.162.051,83 ; 93.378.298,95 ;;;;
BA;2900801;ALCOBACA; 30.262.302,05 ; 10.563.983,77 ; 12.116.379,53 ; -   ; 22.680.363,30 ; 52.942.665,35 ;;;;
BA;2900900;ALMADINA; 8.606.285,78 ; 3.004.287,74 ; 8.606.582,06 ; -   ; 11.610.869,80 ; 20.217.155,58 ;;;;
BA;2901007;AMARGOSA; 37.270.072,19 ; 13.010.260,65 ; 25.306.706,59 ; -   ; 38.316.967,24 ; 75.587.039,43 ;;;;
BA;2901106;AMELIA RODRIGUES; 24.152.540,88 ; 8.431.184,42 ; 11.627.570,61 ; -   ; 20.058.755,03 ; 44.211.295,91 ;;;;
BA;2901155;AMERICA DOURADA; 21.739.650,34 ; 7.588.891,05 ; 12.806.007,90 ; 1.097.432,50 ; 21.492.331,45 ; 43.231.981,79 ;;;;
BA;2901205;ANAGE; 18.812.612,23 ; 6.567.118,71 ; 5.833.342,79 ; -   ; 12.400.461,50 ; 31.213.073,73 ;;;;
BA;2901304;ANDARAI; 15.504.735,11 ; 5.412.402,86 ; 7.171.999,11 ; -   ; 12.584.401,97 ; 28.089.137,08 ;;;;
BA;2901353;ANDORINHA; 25.899.998,66 ; 9.041.188,10 ; 14.802.728,17 ; 2.432.435,23 ; 26.276.351,50 ; 52.176.350,16 ;;;;
BA;2901403;ANGICAL; 15.012.833,62 ; 5.240.689,57 ; 7.448.204,82 ; -   ; 12.688.894,39 ; 27.701.728,01 ;;;;
BA;2901502;ANGUERA; 17.677.702,64 ; 6.170.943,75 ; 11.172.124,44 ; 2.147.292,13 ; 19.490.360,32 ; 37.168.062,96 ;;;;
BA;2901601;ANTAS; 25.319.940,71 ; 8.838.701,10 ; 15.047.304,08 ; 2.809.045,65 ; 26.695.050,83 ; 52.014.991,54 ;;;;
BA;2901700;ANTONIO CARDOSO; 14.982.445,97 ; 5.230.081,83 ; 9.763.968,14 ; -   ; 14.994.049,97 ; 29.976.495,94 ;;;;
BA;2901809;ANTONIO GONCALVES; 15.658.003,67 ; 5.465.905,94 ; 12.241.702,25 ; 1.355.910,04 ; 19.063.518,23 ; 34.721.521,90 ;;;;
BA;2901908;APORA; 23.237.534,27 ; 8.111.773,33 ; 21.069.018,78 ; 1.065.240,51 ; 30.246.032,62 ; 53.483.566,89 ;;;;
BA;2901957;APUAREMA; 9.814.495,00 ; 3.426.050,20 ; 6.699.406,27 ; 906.502,40 ; 11.031.958,87 ; 20.846.453,87 ;;;;
BA;2902054;ARACAS; 14.165.109,68 ; 4.944.765,55 ; 1.239.404,27 ; 1.471.223,67 ; 7.655.393,49 ; 21.820.503,17 ;;;;
BA;2902005;ARACATU; 24.971.048,47 ; 8.716.909,58 ; 30.890.456,31 ; 2.719.509,77 ; 42.326.875,66 ; 67.297.924,13 ;;;;
